Annual Report - 2026
Generated on: January 31, 2026

Dashboard Statistics
Metric,Value
Total Customers,1000
Last Month Customers,26
Customer Change,3646.15%
Total Orders,2000
Last Month Orders,56
Order Change,3371.43%
Total Revenue,$22,307,873.95
Order Count,1925

Order Types Breakdown
Type,Count,Percentage
DTC,655,34.0%
WHOLESALE,647,33.6%
B2B,623,32.4%

Task Statistics
Status,Count
Total,2000
Completed,476
In Progress,764
Pending,0

Review Statistics
Metric,Value
Total Reviews,2000
Average Rating,4.4
Positive Ratio,85%
